WordNumber     CommandType                          hexValue(hex)     byteOffset(hex)     BitOffset(int)
0              Dummy Word                           0xFFFFFFFF        0x00000000          0                   
1              Synchronization Word                 0xAA995566        0x00000004          32                  
2              LOUT Write (End of Frame)            0x30010001        0x00000008          64                  
3              Empty or Unconfigured                0x00000000        0x0000000c          96                  
4              CMD Write Packet Header              0x30008001        0x00000010          128                 
5              CMD Write Packet Data (Reset CRC)    0x00000007        0x00000014          160                 
6              FLR Write Packet Header              0x30016001        0x00000018          192                 
7              Data                                 0x00000030        0x0000001c          224                 
8              COR Write Packet Header              0x30012001        0x00000020          256                 
9              Data                                 0x020031E5        0x00000024          288                 
10             IDCODE Write Packet Header           0x3001C001        0x00000028          320                 
11             Data                                 0x01C10093        0x0000002c          352                 
12             MASK Write Packet Header             0x3000C001        0x00000030          384                 
13             Empty or Unconfigured                0x00000000        0x00000034          416                 
14             CMD Write Packet Header              0x30008001        0x00000038          448                 
15             CMD Write Packet Data                0x00000009        0x0000003c          480                 
16             FAR Write Packet Header              0x30002001        0x00000040          512                 
17             Empty or Unconfigured                0x00000000        0x00000044          544                 
18             CMD Write Packet Header              0x30008001        0x00000048          576                 
19             CMD Write Packet Data (WCFG)         0x00000001        0x0000004c          608                 
20             Data                                 0x30004031        0x00000050          640                 
21             Empty or Unconfigured                0x00000000        0x00000054          672                 
22             Empty or Unconfigured                0x00000000        0x00000058          704                 
...            ...                                  0x...             0x...               ...                 
70             Data                                 0x0000A6D2        0x00000118          2240                
71             LOUT Write (End of Frame)            0x30010001        0x0000011c          2272                
72             Empty or Unconfigured                0x00000000        0x00000120          2304                
73             Data                                 0x30004031        0x00000124          2336                
74             Empty or Unconfigured                0x00000000        0x00000128          2368                
75             Empty or Unconfigured                0x00000000        0x0000012c          2400                
...            ...                                  0x...             0x...               ...                 
123            Data                                 0x0000331A        0x000001ec          3936                
124            LOUT Write (End of Frame)            0x30010001        0x000001f0          3968                
125            Data                                 0x00000200        0x000001f4          4000                
126            Data                                 0x30004031        0x000001f8          4032                
127            Empty or Unconfigured                0x00000000        0x000001fc          4064                
128            Empty or Unconfigured                0x00000000        0x00000200          4096                
...            ...                                  0x...             0x...               ...                 
176            Data                                 0x0000331A        0x000002c0          5632                
177            LOUT Write (End of Frame)            0x30010001        0x000002c4          5664                
178            Data                                 0x00000400        0x000002c8          5696                
179            Data                                 0x30004031        0x000002cc          5728                
180            Empty or Unconfigured                0x00000000        0x000002d0          5760                
181            Data                                 0x05500000        0x000002d4          5792                
182            Data                                 0x00000020        0x000002d8          5824                
183            Data                                 0x00000640        0x000002dc          5856                
184            Empty or Unconfigured                0x00000000        0x000002e0          5888                
185            Data                                 0x10018400        0x000002e4          5920                
186            Data                                 0x14000000        0x000002e8          5952                
187            Empty or Unconfigured                0x00000000        0x000002ec          5984                
188            Empty or Unconfigured                0x00000000        0x000002f0          6016                
...            ...                                  0x...             0x...               ...                 
229            Data                                 0x000007A9        0x00000394          7328                
230            LOUT Write (End of Frame)            0x30010001        0x00000398          7360                
231            Data                                 0x00020000        0x0000039c          7392                
232            Data                                 0x30004031        0x000003a0          7424                
233            Empty or Unconfigured                0x00000000        0x000003a4          7456                
234            Empty or Unconfigured                0x00000000        0x000003a8          7488                
...            ...                                  0x...             0x...               ...                 
235            Data                                 0x00000010        0x000003ac          7520                
236            Empty or Unconfigured                0x00000000        0x000003b0          7552                
237            Empty or Unconfigured                0x00000000        0x000003b4          7584                
...            ...                                  0x...             0x...               ...                 
239            Data                                 0x40000000        0x000003bc          7648                
240            Empty or Unconfigured                0x00000000        0x000003c0          7680                
241            Empty or Unconfigured                0x00000000        0x000003c4          7712                
...            ...                                  0x...             0x...               ...                 
280            Data                                 0x00002A80        0x00000460          8960                
281            Data                                 0x18000000        0x00000464          8992                
282            Data                                 0x0000FB1B        0x00000468          9024                
283            LOUT Write (End of Frame)            0x30010001        0x0000046c          9056                
284            Data                                 0x00020200        0x00000470          9088                
285            Data                                 0x30004031        0x00000474          9120                
