WordNumber     CommandType                                                     hexValue(hex)     byteOffset(hex)     BitOffset(int)
0              Dummy Word                                                      0xFFFFFFFF        0x00000000          0                   
1              Synchronization Word                                            0xAA995566        0x00000004          32                  
2              LOUT Write (End of Frame)                                       0x30010001        0x00000008          64                  
3              Empty or Unconfigured                                           0x00000000        0x0000000c          96                  
4              CMD Write Packet Header                                         0x30008001        0x00000010          128                 
5              CMD Write Packet Data (Reset CRC)                               0x00000007        0x00000014          160                 
6              FLR Write Packet Header                                         0x30016001        0x00000018          192                 
7              Data                                                            0x00000030        0x0000001c          224                 
8              COR Write Packet Header                                         0x30012001        0x00000020          256                 
9              Data                                                            0x020031E5        0x00000024          288                 
10             IDCODE Write Packet Header                                      0x3001C001        0x00000028          320                 
11             Data                                                            0x01C10093        0x0000002c          352                 
12             MASK Write Packet Header                                        0x3000C001        0x00000030          384                 
13             Empty or Unconfigured                                           0x00000000        0x00000034          416                 
14             CMD Write Packet Header                                         0x30008001        0x00000038          448                 
15             CMD Write Packet Data                                           0x00000009        0x0000003c          480                 
16             FAR Write Packet Header                                         0x30002001        0x00000040          512                 
17             Empty or Unconfigured                                           0x00000000        0x00000044          544                 
18             CMD Write Packet Header                                         0x30008001        0x00000048          576                 
19             CMD Write Packet Data (WCFG)                                    0x00000001        0x0000004c          608                 
20             FDRI Write Packet Header (Type 1), Num of frame words: 49       0x30004031        0x00000050          640                 
21             Empty or Unconfigured                                           0x00000000        0x00000054          672                 
22             Empty or Unconfigured                                           0x00000000        0x00000058          704                 
23             Empty or Unconfigured                                           0x00000000        0x0000005c          736                 
24             Empty or Unconfigured                                           0x00000000        0x00000060          768                 
25             Empty or Unconfigured                                           0x00000000        0x00000064          800                 
26             Empty or Unconfigured                                           0x00000000        0x00000068          832                 
27             Empty or Unconfigured                                           0x00000000        0x0000006c          864                 
28             Empty or Unconfigured                                           0x00000000        0x00000070          896                 
29             Empty or Unconfigured                                           0x00000000        0x00000074          928                 
30             Empty or Unconfigured                                           0x00000000        0x00000078          960                 
31             Empty or Unconfigured                                           0x00000000        0x0000007c          992                 
32             Empty or Unconfigured                                           0x00000000        0x00000080          1024                
33             Empty or Unconfigured                                           0x00000000        0x00000084          1056                
34             Empty or Unconfigured                                           0x00000000        0x00000088          1088                
35             Empty or Unconfigured                                           0x00000000        0x0000008c          1120                
36             Empty or Unconfigured                                           0x00000000        0x00000090          1152                
37             Empty or Unconfigured                                           0x00000000        0x00000094          1184                
38             Empty or Unconfigured                                           0x00000000        0x00000098          1216                
39             Empty or Unconfigured                                           0x00000000        0x0000009c          1248                
40             Empty or Unconfigured                                           0x00000000        0x000000a0          1280                
41             Empty or Unconfigured                                           0x00000000        0x000000a4          1312                
42             Empty or Unconfigured                                           0x00000000        0x000000a8          1344                
43             Empty or Unconfigured                                           0x00000000        0x000000ac          1376                
44             Empty or Unconfigured                                           0x00000000        0x000000b0          1408                
45             Empty or Unconfigured                                           0x00000000        0x000000b4          1440                
46             Empty or Unconfigured                                           0x00000000        0x000000b8          1472                
47             Empty or Unconfigured                                           0x00000000        0x000000bc          1504                
48             Empty or Unconfigured                                           0x00000000        0x000000c0          1536                
49             Empty or Unconfigured                                           0x00000000        0x000000c4          1568                
50             Empty or Unconfigured                                           0x00000000        0x000000c8          1600                
51             Empty or Unconfigured                                           0x00000000        0x000000cc          1632                
52             Empty or Unconfigured                                           0x00000000        0x000000d0          1664                
53             Empty or Unconfigured                                           0x00000000        0x000000d4          1696                
54             Empty or Unconfigured                                           0x00000000        0x000000d8          1728                
55             Empty or Unconfigured                                           0x00000000        0x000000dc          1760                
56             Empty or Unconfigured                                           0x00000000        0x000000e0          1792                
57             Empty or Unconfigured                                           0x00000000        0x000000e4          1824                
58             Empty or Unconfigured                                           0x00000000        0x000000e8          1856                
59             Empty or Unconfigured                                           0x00000000        0x000000ec          1888                
60             Empty or Unconfigured                                           0x00000000        0x000000f0          1920                
61             Empty or Unconfigured                                           0x00000000        0x000000f4          1952                
